Target Prospect First Name,Target Prospect Last Name,Target Prospect Email,Target Prospect Job Title,Target Prospect Company Name,Target Prospect Website,Target Prospect Linkedin URL,Target Prospect City,Target Prospect Country
James,Rodriguez,james@prospectiq.com,Business Development Manager,ProspectIQ,prospectiq.com,,Boston,USA
Jesse,Johnson,jesse@demandgen.com,Director of Sales,DemandGen,demandgen.com,,Dallas,Germany
Michael,Smith,michael@pipelinemax.com,Director of Marketing,PipelineMax,pipelinemax.com,,Philadelphia,USA
Gregory,Nelson,gregory@emailwizard.com,Marketing Director,EmailWizard,emailwizard.com,,Nashville,Canada
Anthony,Roberts,anthony@conversionhub.com,Director of Sales,ConversionHub,conversionhub.com,,Charlotte,Ireland
Joshua,Young,joshua@prospectiq.com,VP of Business Development,ProspectIQ,prospectiq.com,,Dallas,UK
Eugene,Harris,eugene@marketpulse.com,Chief Revenue Officer,MarketPulse,marketpulse.com,,Boston,USA
Zachary,Brown,zachary@pipelinemax.com,Head of Marketing,PipelineMax,pipelinemax.com,,Seattle,USA
Daniel,Jones,daniel@nexusai.com,VP of Business Development,NexusAI,nexusai.com,,Denver,France
Russell,Nguyen,russell@outreachmax.com,VP of Marketing,OutreachMax,outreachmax.com,,San Diego,USA
Bradley,Campbell,bradley@conversionpro.com,Sales Manager,ConversionPro,conversionpro.com,,Seattle,Netherlands
Austin,Adams,austin@nexusai.com,VP of Business Development,NexusAI,nexusai.com,,Phoenix,USA
George,Robinson,george@dealflow.com,VP of Sales,DealFlow,dealflow.com,,Dallas,Canada
Ethan,Hernandez,ethan@marketpulse.com,Head of Marketing,MarketPulse,marketpulse.com,,Boston,France
Ethan,Torres,ethan@dealflow.com,Head of Growth,DealFlow,dealflow.com,,Miami,UK
Paul,Ramirez,paul@dealmaster.com,Head of Sales,DealMaster,dealmaster.com,,Denver,Canada
Roger,Hall,roger@prospectiq.com,Revenue Operations Director,ProspectIQ,prospectiq.com,,New York,USA
